,Unnamed: 0,Name,URL,name_letter
72,72,KataKata,https://www.tripadvisor.com/Restaurant_Review-g186338-d8093529-Reviews-KataKata-London_England.html,katakata
73,73,Flour To The People!,https://www.tripadvisor.com/Restaurant_Review-g186338-d7995020-Reviews-Flour_To_The_People-London_England.html,flourtothepeople!
74,74,Sitara,https://www.tripadvisor.com/Restaurant_Review-g186338-d2244333-Reviews-Sitara-London_England.html,sitara
75,75,TOKii,https://www.tripadvisor.com/Restaurant_Review-g186338-d19509990-Reviews-TOKii-London_England.html,tokii
76,76,The Clink Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d6635485-Reviews-The_Clink_Restaurant-London_England.html,theclinkrestaurant
77,77,MAP Maison,https://www.tripadvisor.com/Restaurant_Review-g186338-d15705401-Reviews-MAP_Maison-London_England.html,mapmaison
78,78,Oi Vita Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g186338-d11961993-Reviews-Oi_Vita_Pizzeria-London_England.html,oivitapizzeria
79,79,The Shell,https://www.tripadvisor.com/Restaurant_Review-g186338-d20214731-Reviews-The_Shell-London_England.html,theshell
80,80,Bella Roma - Italian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d10431777-Reviews-Bella_Roma_Italian_Restaurant-London_England.html,bellaroma-italianrestaurant
81,81,Mildreds Camden,https://www.tripadvisor.com/Restaurant_Review-g186338-d8826807-Reviews-Mildreds_Camden-London_England.html,mildredscamden
82,82,Liman Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d10444968-Reviews-Liman_Restaurant-London_England.html,limanrestaurant
83,83,Radicals and Victuallers,https://www.tripadvisor.com/Restaurant_Review-g186338-d7332519-Reviews-Radicals_and_Victuallers-London_England.html,radicalsandvictuallers
84,84,The Famous Curry Bazaar,https://www.tripadvisor.com/Restaurant_Review-g186338-d2014346-Reviews-The_Famous_Curry_Bazaar-London_England.html,thefamouscurrybazaar
85,85,Daphne Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d5583274-Reviews-Daphne_Restaurant-London_England.html,daphnerestaurant
86,86,Nonna Selena Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g186338-d19813422-Reviews-Nonna_Selena_Pizzeria-London_England.html,nonnaselenapizzeria
87,87,The Prince of Greenwich Pub,https://www.tripadvisor.com/Restaurant_Review-g186338-d7159326-Reviews-The_Prince_of_Greenwich_Pub-London_England.html,theprinceofgreenwichpub
88,88,E Pellicci,https://www.tripadvisor.com/Restaurant_Review-g186338-d731643-Reviews-E_Pellicci-London_England.html,epellicci
89,89,Fishcotheque,https://www.tripadvisor.com/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,fishcotheque
90,90,B Bagel Bakery Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d9855458-Reviews-B_Bagel_Bakery_Bar-London_England.html,bbagelbakerybar
91,91,Knife Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d10825060-Reviews-Knife_Restaurant-London_England.html,kniferestaurant
92,92,Osteria Napoletana,https://www.tripadvisor.com/Restaurant_Review-g186338-d17383940-Reviews-Osteria_Napoletana-London_England.html,osterianapoletana
93,93,Iran Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html,iranrestaurant
94,94,Moira Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d16754387-Reviews-Moira_Restaurant-London_England.html,moirarestaurant
95,95,Humble Grape Liverpool Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d13462998-Reviews-Humble_Grape_Liverpool_Street-London_England.html,humblegrapeliverpoolstreet
96,96,Llerena. Iberico Tapas Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d13341128-Reviews-Llerena_Iberico_Tapas_Bar-London_England.html,llerena.ibericotapasbar
97,97,Revolution Bar Clapham High Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d8382000-Reviews-Revolution_Bar_Clapham_High_Street-London_England.html,revolutionbarclaphamhighstreet
98,98,Chez Antoinette Victoria,https://www.tripadvisor.com/Restaurant_Review-g186338-d16948705-Reviews-Chez_Antoinette_Victoria-London_England.html,chezantoinettevictoria
